Question_ID,Questions,Answers
161,"""What are some popular fitness trends?""","""HIIT, yoga, and functional training are popular fitness trends."""
162,"""How can I prepare for a job change?""","""Update your resume, network, and research potential employers."""
163,"""What is self-care, and why is it important?""","""Self-care involves activities that promote well-being, and it is important for mental health."""
164,"""How can I develop leadership skills?""","""Seek leadership opportunities, ask for feedback, and learn from mentors."""
165,"""What are some ways to promote inclusivity in the workplace?""","""Encourage diverse perspectives, provide training, and create a safe environment for all."""
166,"""How can I stay fit while traveling?""","""Walk or bike to explore, choose active excursions, and maintain a balanced diet."""
167,"""What are some ways to improve my writing skills?""","""Read regularly, practice writing daily, and seek constructive feedback."""
168,"""How can I create a more positive online presence?""","""Share uplifting content, engage respectfully, and support others."""
169,"""What is the significance of cultural diversity?""","""Cultural diversity enriches communities, fosters creativity, and promotes understanding."""
170,"""How can I build self-confidence?""","""Set achievable goals, practice self-compassion, and celebrate small successes."""
171,"""What are the signs of a toxic work environment?""","""Constant negativity, lack of support, and poor communication are signs of toxicity."""
172,"""How can I reduce my carbon footprint?""","""Use public transport, reduce energy consumption, and choose sustainable products."""
173,"""What are some effective relaxation techniques?""","""Deep breathing, meditation, and progressive muscle relaxation are effective."""
174,"""How can I engage in community service?""","""Volunteer at local organizations, participate in community events, or start your own initiative."""
175,"""What are the benefits of gratitude journaling?""","""Gratitude journaling can improve mood, increase positivity, and enhance overall well-being."""
176,"""How can I stay organized?""","""Use planners, to-do lists, and digital tools to keep track of tasks and appointments."""
177,"""What are the advantages of teamwork?""","""Teamwork encourages collaboration, fosters creativity, and improves problem-solving."""
178,"""How can I improve my listening skills?""","""Practice active listening, avoid interrupting, and ask clarifying questions."""
179,"""What are some effective marketing strategies?""","""Social media marketing, email campaigns, and influencer partnerships are effective strategies."""
180,"""How can I build a successful online business?""","""Identify a niche, create a strong brand, and use digital marketing to reach customers."""
181,"""What are the signs of good mental health?""","""Emotional resilience, a positive outlook, and healthy relationships are signs of good mental health."""
182,"""How can I promote work-life balance?""","""Set boundaries, prioritize tasks, and make time for self-care."""
183,"""What are some tips for effective goal-setting?""","""Make goals SMART (Specific, Measurable, Achievable, Relevant, Time-bound) and review them regularly."""
184,"""How can I manage anxiety?""","""Practice mindfulness, engage in physical activity, and seek professional help if needed."""
185,"""What are some ways to increase your savings?""","""Automate savings, cut unnecessary expenses, and set specific savings goals."""
186,"""How can I improve my emotional resilience?""","""Develop coping strategies, practice self-care, and build supportive relationships."""
187,"""What are some healthy ways to cope with stress?""","""Exercise, journaling, and talking to friends are healthy coping mechanisms."""
188,"""How can I improve my negotiation skills?""","""Prepare thoroughly, practice active listening, and aim for win-win solutions."""
189,"""What are some effective conflict resolution strategies?""","""Stay calm, listen actively, and seek to understand the other person's perspective."""
190,"""How can I promote mental wellness in children?""","""Encourage open communication, teach coping skills, and provide a supportive environment."""
191,"""What are the benefits of taking breaks at work?""","""Breaks can enhance focus, prevent burnout, and improve overall productivity."""
192,"""How can I find my passion in life?""","""Explore new interests, reflect on your values, and seek feedback from others."""
193,"""What are some effective ways to manage distractions?""","""Set clear goals, create a dedicated workspace, and limit social media use."""
194,"""How can I support someone going through a tough time?""","""Be present, listen without judgment, and offer practical help."""
195,"""What are some ways to cultivate creativity?""","""Try new experiences, embrace curiosity, and set aside time for creative pursuits."""
196,"""How can I improve my financial literacy?""","""Read books, take online courses, and seek advice from financial experts."""
197,"""What are the benefits of joining a support group?""","""Support groups provide a sense of community, shared experiences, and emotional support."""
198,"""How can I practice self-compassion?""","""Treat yourself kindly, acknowledge your feelings, and avoid self-criticism."""
199,"""What are some ways to enhance your career prospects?""","""Network, continue learning, and seek new challenges."""
200,"""How can I create a vision board?""","""Gather images and quotes that inspire you, and arrange them on a board to visualize your goals."""
201,"""What is the capital of Kerala?""","""The capital of Kerala is Thiruvananthapuram (Trivandrum)."""
202,"""What is the official language of Kerala?""","""The official language of Kerala is Malayalam."""
203,"""Who is the current Chief Minister of Kerala?""","""Pinarayi Vijayan is the current Chief Minister of Kerala."""
204,"""What is Kerala famous for?""","""Kerala is famous for its backwaters, beaches, and Ayurvedic treatments."""
205,"""What is the traditional dance of Kerala?""","""Kathakali and Mohiniyattam are traditional dances of Kerala."""
206,"""What is the state animal of Kerala?""","""The state animal of Kerala is the Indian elephant."""
207,"""Who is the Governor of Kerala?""","""The current Governor of Kerala is Arif Mohammad Khan."""
208,"""What is the main festival of Kerala?""","""Onam is the main festival of Kerala."""
209,"""What is the literacy rate of Kerala?""","""Kerala has the highest literacy rate in India, around 96%."""
210,"""Which sea borders Kerala?""","""The Arabian Sea borders Kerala."""
211,"""What is Kerala's nickname?""","""Kerala is often called ""God's Own Country."""""
212,"""What is the traditional boat race in Kerala?""","""The traditional boat race is the Vallam Kali (Snake Boat Race)."""
213,"""What is the population of Kerala (approx)?""","""Kerala's population is approximately 35 million."""
214,"""Which river is known as the ""Lifeline of Kerala""?""","""The Periyar River is known as the ""Lifeline of Kerala."""""
215,"""What is the main cuisine of Kerala?""","""Kerala cuisine is famous for its use of coconut, rice, and seafood."""
216,"""What is the state bird of Kerala?""","""The state bird of Kerala is the Great Indian Hornbill."""
217,"""Which hill station is famous in Kerala?""","""Munnar is a famous hill station in Kerala."""
218,"""What is the traditional attire for men in Kerala?""","""The traditional attire is the Mundu, a white cloth worn around the waist."""
219,"""What is Kerala’s state flower?""","""The state flower of Kerala is the Kanikonna (Golden Shower Tree)."""
220,"""Which is the largest district in Kerala by area?""","""Palakkad is the largest district by area in Kerala."""
221,"""What is the main economic activity in Kerala?""","""Agriculture, tourism, and remittances from expatriates are major economic activities."""
222,"""What is the state fish of Kerala?""","""The state fish of Kerala is the Pearl Spot (Karimeen)."""
223,"""Who is known as the ""Kerala Gandhi""?""","""K. Kelappan is known as the ""Kerala Gandhi."""""
224,"""What is the literacy capital of Kerala?""","""Kottayam is known as the ""Literacy Capital of Kerala."""""
225,"""What is the main religion in Kerala?""","""Hinduism, Islam, and Christianity are the major religions in Kerala."""
226,"""What is the state tree of Kerala?""","""The Coconut tree is the state tree of Kerala."""
227,"""What is the largest city in Kerala?""","""Thiruvananthapuram is the largest city in Kerala."""
228,"""Which is the highest peak in Kerala?""","""Anamudi is the highest peak in Kerala."""
229,"""What is the famous martial art of Kerala?""","""Kalaripayattu is the traditional martial art of Kerala."""
230,"""Which Kerala city is famous for spices?""","""Kozhikode (Calicut) is famous for spices."""
231,"""What is Kerala's state beverage?""","""Tea is the state beverage of Kerala."""
232,"""Which district in Kerala has the highest literacy rate?""","""Pathanamthitta has the highest literacy rate in Kerala."""
233,"""What is the famous religious festival in Thrissur?""","""Thrissur Pooram is the famous religious festival."""
234,"""Which is the smallest district in Kerala by area?""","""Alappuzha is the smallest district by area."""
235,"""What is the largest freshwater lake in Kerala?""","""Vembanad Lake is the largest freshwater lake in Kerala."""
236,"""Who is the famous poet from Kerala?""","""Kumaran Asan and Vallathol Narayana Menon are famous poets from Kerala."""
237,"""Which Kerala city is known as the ""Queen of the Arabian Sea""?""","""Kochi is known as the ""Queen of the Arabian Sea."""""
238,"""What is the main source of power generation in Kerala?""","""Hydroelectricity is the main source of power generation."""
239,"""Which Kerala district is famous for rubber production?""","""Kottayam is famous for rubber production."""
240,"""Who is the famous Malayalam actor known as the ""Complete Actor""?""","""Mohanlal is known as the ""Complete Actor."""""
241,"""Which Kerala city is known as the ""Venice of the East""?""","""Alappuzha is known as the ""Venice of the East."""""
242,"""Which is the highest waterfall in Kerala?""","""Athirappilly Waterfalls is the highest waterfall in Kerala."""
243,"""What is Kerala’s state emblem?""","""Kerala's state emblem features two elephants and a coconut tree."""
244,"""Which Kerala port is a major international port?""","""Kochi is a major international port in Kerala."""
245,"""Who was the first Chief Minister of Kerala?""","""E.M.S. Namboodiripad was the first Chief Minister of Kerala."""
246,"""What is the popular art form involving storytelling in Kerala?""","""Theyyam and Kathakali are popular storytelling art forms."""
247,"""Which city in Kerala is known for coir products?""","""Alappuzha is famous for coir products."""
248,"""What is the famous dance form performed during Onam?""","""Thiruvathira is performed during Onam."""
249,"""Which Kerala district has the highest population?""","""Malappuram has the highest population in Kerala."""
250,"""What is the major agricultural product of Kerala?""","""Coconut, rubber, and spices are major agricultural products of Kerala."""
251,"""Which Kerala district is famous for tea plantations?""","""Idukki is famous for tea plantations."""
252,"""What is the famous snake boat race in Kerala?""","""Nehru Trophy Boat Race is a famous snake boat race."""
253,"""What is the major health care system in Kerala?""","""Ayurveda is a major healthcare system in Kerala."""
254,"""Who is the famous reformer associated with the temple entry movement in Kerala?""","""Sree Narayana Guru is associated with the temple entry movement."""
255,"""What is the main crop grown in the backwaters of Kerala?""","""Rice is the main crop grown in the backwaters."""
256,"""What is the longest river in Kerala?""","""The Bharathapuzha River is the longest river in Kerala."""
257,"""Which is the first district in India to achieve 100% literacy?""","""Ernakulam was the first district to achieve 100% literacy."""
258,"""Who is the famous Kerala leader associated with the Quit India Movement?""","""A.K. Gopalan is a famous Kerala leader associated with the Quit India Movement."""
259,"""What is the literacy rate of women in Kerala?""","""The literacy rate of women in Kerala is around 92%."""
260,"""What is the traditional bridal attire in Kerala?""","""The traditional bridal attire is a Kasavu saree."""
261,"""What is the main industry in Kerala?""","""Tourism, agriculture, and fishing are major industries."""
262,"""What is the largest wildlife sanctuary in Kerala?""","""Periyar Wildlife Sanctuary is the largest in Kerala."""
263,"""Which Kerala festival celebrates the return of the mythical King Mahabali?""","""Onam celebrates the return of King Mahabali."""
264,"""What is the name of the Malayalam New Year?""","""Vishu is the Malayalam New Year."""
265,"""What is the major fish species caught in Kerala?""","""Sardines and mackerel are major fish species caught."""
266,"""Which Kerala city is known for gold jewelry?""","""Thrissur is known for gold jewelry."""
267,"""Who is the famous Kerala freedom fighter who participated in the Salt March?""","""K. Kelappan participated in the Salt March."""
268,"""What is the name of the traditional Kerala houseboat?""","""The traditional Kerala houseboat is called Kettuvallam."""
269,"""Who is the first Malayali to receive the Bharat Ratna?""","""C. Rajagopalachari was the first Malayali to receive the Bharat Ratna."""
270,"""Which Kerala temple is known for its annual elephant procession?""","""The Guruvayur Temple is known for its elephant procession."""
271,"""What is the popular folk art of Kerala performed in temples?""","""Theyyam is a popular folk art performed in temples."""
272,"""Who is the famous Malayalam writer known for the novel ""Chemmeen""?""","""Thakazhi Sivasankara Pillai is known for ""Chemmeen."""""
273,"""What is Kerala's main export product?""","""Spices, especially black pepper and cardamom, are major export products."""
274,"""Who is the famous Kerala athlete known as the ""Payyoli Express""?""","""P.T. Usha is known as the ""Payyoli Express."""""
275,"""What is the literacy rate of men in Kerala?""","""The literacy rate of men in Kerala is around 96%."""
276,"""Which Kerala beach is famous for its sunsets?""","""Kovalam Beach is famous for its sunsets."""
277,"""What is the traditional architecture style of Kerala homes?""","""Kerala homes are built in the Nalukettu style."""
278,"""Who is the founder of the Travancore kingdom?""","""Marthanda Varma is the founder of the Travancore kingdom."""
279,"""Which Kerala city is famous for Ayurvedic tourism?""","""Kochi and Kovalam are famous for Ayurvedic tourism."""
280,"""What is the famous dance drama of Kerala based on the Ramayana?""","""Kathakali is based on the Ramayana."""
281,"""Which Kerala district is famous for cashew production?""","""Kollam is famous for cashew production."""
282,"""What is the main ingredient in Kerala Sadya?""","""Kerala Sadya mainly consists of rice and a variety of vegetarian dishes."""
283,"""Which Kerala hill station is known for its spice gardens?""","""Wayanad is known for its spice gardens."""
284,"""Who is the famous Malayalam singer known as the ""Nightingale of Kerala""?""","""K.S. Chithra is known as the ""Nightingale of Kerala."""""
285,"""What is the main mode of transport in the Kerala backwaters?""","""Houseboats and ferries are the main modes of transport."""
286,"""Who was the first woman Chief Minister of Kerala?""","""Kerala has never had a woman Chief Minister."""
287,"""What is the famous food served on a banana leaf during festivals?""","""The food is called Kerala Sadya."""
288,"""What is the oldest existing mosque in India, located in Kerala?""","""The Cheraman Juma Mosque is the oldest mosque in India."""
289,"""Which Kerala city is famous for coconut production?""","""Alappuzha is famous for coconut production."""
290,"""Who is the famous Malayalam film director known for ""Piravi""?""","""Shaji N. Karun is known for directing ""Piravi."""""
291,"""What is the oldest Christian church in Kerala?""","""The St. Thomas Church in Palayoor is the oldest Christian church."""
292,"""Which Kerala district is known as the ""Land of Letters""?""","""Kottayam is known as the ""Land of Letters."""""
293,"""What is the name of the famous elephant in Kerala's Guruvayur temple?""","""Guruvayur Keshavan was a famous elephant at the Guruvayur temple."""
294,"""Which Kerala festival is famous for its floral decorations?""","""Onam is famous for floral decorations called Pookalam."""
295,"""What is the famous Kerala dessert made with rice and jaggery?""","""Ada Pradhaman is a famous Kerala dessert."""
296,"""What is the famous pilgrimage center in Kerala dedicated to Lord Ayyappa?""","""Sabarimala is a famous pilgrimage center dedicated to Lord Ayyappa."""
297,"""Which Kerala festival marks the harvest season?""","""Vishu marks the harvest season in Kerala."""
298,"""What is the famous Kerala folk dance performed in temples?""","""Thirayattam is a famous Kerala folk dance."""
299,"""Which is the largest spice market in Kerala?""","""The spice market in Kochi is the largest in Kerala."""
300,"""What is the traditional Kerala way of fishing?""","""Using Chinese fishing nets is a traditional method of fishing in Kerala."""
301,"""What is your name?""","""I am a chatbot."""
302,"""How are you today?""","""I'm doing great, thank you!"""
303,"""What is the capital of India?""","""The capital of India is New Delhi."""
304,"""Who is the current Prime Minister of India?""","""The current Prime Minister of India is Narendra Modi."""
305,"""What is the national bird of India?""","""The national bird of India is the peacock."""
306,"""What is 2 + 2?""","""2 + 2 is 4."""
307,"""What is the weather today?""","""I don't have access to current weather data."""
308,"""Who is your creator?""","""I was created by SAM SIMON."""
309,"""What is the national sport of India?""","""Field hockey is the national sport of India."""
310,"""How many continents are there?""","""There are seven continents."""
311,"""What is the currency of India?""","""The currency of India is the Indian Rupee (₹)."""
312,"""What is the tallest mountain in the world?""","""Mount Everest is the tallest mountain in the world."""
313,"""What is the population of India?""","""The population of India is approximately 1.4 billion."""
314,"""Who was the first woman Prime Minister of India?""","""Indira Gandhi was the first woman Prime Minister of India."""
315,"""What is the national anthem of India?""","""The national anthem of India is Jana Gana Mana."""
316,"""What is the largest state in India by area?""","""Rajasthan is the largest state in India by area."""
317,"""What is the national flower of India?""","""The national flower of India is the lotus."""
318,"""What is the largest ocean on Earth?""","""The Pacific Ocean is the largest ocean on Earth."""
319,"""What is the boiling point of water?""","""The boiling point of water is 100°C or 212°F."""
320,"""Who wrote the national anthem of India?""","""Rabindranath Tagore wrote the national anthem of India."""
321,"""Who was the first President of India?""","""Dr. Rajendra Prasad was the first President of India."""
322,"""What is the freezing point of water?""","""Water freezes at 0°C or 32°F."""
323,"""What is the largest desert in the world?""","""The Sahara Desert is the largest hot desert."""
324,"""How many states are in India?""","""India has 28 states."""
325,"""Who built the Taj Mahal?""","""The Taj Mahal was built by Emperor Shah Jahan."""
326,"""What is the longest river in India?""","""The Ganga (Ganges) is the longest river in India."""
327,"""Who is known as the ""Father of India""?""","""Mahatma Gandhi is known as the ""Father of India."""""
328,"""What is the national tree of India?""","""The Banyan tree is the national tree of India."""
329,"""What is the national fruit of India?""","""The national fruit of India is the mango."""
330,"""What is 10 x 5?""","""10 x 5 is 50."""
331,"""What is the official language of India?""","""Hindi and English are the official languages of India."""
332,"""What is the capital of Tamil Nadu?""","""The capital of Tamil Nadu is Chennai."""
333,"""How many bones are in the human body?""","""There are 206 bones in the human body."""
334,"""Who discovered gravity?""","""Sir Isaac Newton discovered gravity."""
335,"""What is the largest mammal on Earth?""","""The blue whale is the largest mammal on Earth."""
336,"""Who is known as the ""Missile Man of India""?""","""Dr. A.P.J. Abdul Kalam is known as the ""Missile Man of India."""""
